x,y,z
0,0,0,
0,0.1,0,
0,0.2,0,
0,0.3,0,
0,0.4,0,
0,0.5,0,
0,0.6,0,
0,0.7,0,
0,0.8,0,
0,0.9,0,
0,1,0,
0.1,0,0,
0.1,0.1,-0.00110265,
0.1,0.2,-0.00215532,
0.1,0.3,-0.00310431,
0.1,0.4,-0.0038886,
0.1,0.5,-0.00443619,
0.1,0.6,-0.0046608,
0.1,0.7,-0.00445927,
0.1,0.8,-0.00371019,
0.1,0.9,-0.00227472,
0.1,1,0,
0.2,0,0,
0.2,0.1,-0.00215532,
0.2,0.2,-0.00421432,
0.2,0.3,-0.00607333,
0.2,0.4,-0.00761389,
0.2,0.5,-0.00869533,
0.2,0.6,-0.00914774,
0.2,0.7,-0.00876607,
0.2,0.8,-0.00730676,
0.2,0.9,-0.00448868,
0.2,1,0,
0.3,0,0,
0.3,0.1,-0.00310431,
0.3,0.2,-0.00607333,
0.3,0.3,-0.00876081,
0.3,0.4,-0.0109983,
0.3,0.5,-0.0125835,
0.3,0.6,-0.0132687,
0.3,0.7,-0.0127505,
0.3,0.8,-0.0106621,
0.3,0.9,-0.00657326,
0.3,1,0,
0.4,0,0,
0.4,0.1,-0.0038886,
0.4,0.2,-0.00761389,
0.4,0.3,-0.0109983,
0.4,0.4,-0.0138349,
0.4,0.5,-0.0158716,
0.4,0.6,-0.0167933,
0.4,0.7,-0.0162051,
0.4,0.8,-0.0136178,
0.4,0.9,-0.00844226,
0.4,1,0,
0.5,0,0,
0.5,0.1,-0.00443619,
0.5,0.2,-0.00869533,
0.5,0.3,-0.0125835,
0.5,0.4,-0.0158716,
0.5,0.5,-0.0182746,
0.5,0.6,-0.0194277,
0.5,0.7,-0.0188587,
0.5,0.8,-0.0159618,
0.5,0.9,-0.00997797,
0.5,1,0,
0.6,0,0,
0.6,0.1,-0.0046608,
0.6,0.2,-0.00914774,
0.6,0.3,-0.0132687,
0.6,0.4,-0.0167933,
0.6,0.5,-0.0194277,
0.6,0.6,-0.020784,
0.6,0.7,-0.0203404,
0.6,0.8,-0.0173929,
0.6,0.9,-0.0110078,
0.6,1,0,
0.7,0,0,
0.7,0.1,-0.00445927,
0.7,0.2,-0.00876607,
0.7,0.3,-0.0127505,
0.7,0.4,-0.0162051,
0.7,0.5,-0.0188587,
0.7,0.6,-0.0203404,
0.7,0.7,-0.0201259,
0.7,0.8,-0.0174615,
0.7,0.9,-0.0112603,
0.7,1,0,
0.8,0,0,
0.8,0.1,-0.00371019,
0.8,0.2,-0.00730676,
0.8,0.3,-0.0106621,
0.8,0.4,-0.0136178,
0.8,0.5,-0.0159618,
0.8,0.6,-0.0173929,
0.8,0.7,-0.0174615,
0.8,0.8,-0.0154667,
0.8,0.9,-0.010272,
0.8,1,0,
0.9,0,0,
0.9,0.1,-0.00227472,
0.9,0.2,-0.00448868,
0.9,0.3,-0.00657326,
0.9,0.4,-0.00844226,
0.9,0.5,-0.00997797,
0.9,0.6,-0.0110078,
0.9,0.7,-0.0112603,
0.9,0.8,-0.010272,
0.9,0.9,-0.00716101,
0.9,1,0,
1,0,0,
1,0.1,0,
1,0.2,0,
1,0.3,0,
1,0.4,0,
1,0.5,0,
1,0.6,0,
1,0.7,0,
1,0.8,0,
1,0.9,0,
1,1,0,
